C_FLOPs,N_opt,D_opt,Loss,N_D_ratio
1e+18,0.009454844364749016,17.627647821264894,4.300690785582263,0.0005363644917697574
1.3894954943731361e+18,0.01251332203200387,18.50688264900646,4.1676498515457165,0.0006761442361377726
1.9306977288832456e+18,0.016560705567047758,19.430509981057398,4.040928748112758,0.0008523042155451719
2.6826957952797164e+18,0.0219194406612465,20.398146685852815,3.920227263719891,0.0010745800095872818
3.727593720314953e+18,0.02901069319878996,21.4150560207367,3.8052594504659267,0.001354686776009282
5.179474679231223e+18,0.03839469430592566,22.483465371376614,3.6957529413204493,0.0017076857891668875
7.196856730011528e+18,0.05081332249940813,23.605544031932954,3.5914483090668283,0.002152601203796414
1e+19,0.06725059597511564,24.782927831351472,3.492098449399863,0.002713585595404944
1.389495494373136e+19,0.08900634348236941,26.018660393727455,3.397467996107494,0.0034208657223500616
1.9306977288832455e+19,0.11780056193263565,27.315910003713405,3.3073327637984544,0.004312525627614877
2.6826957952797164e+19,0.15591104511328374,28.677632527899597,3.2214792165038384,0.005436677695120147
3.727593720314953e+19,0.20633574975146685,30.10945126090907,3.1397039616124673,0.006852856532106628
5.179474679231223e+19,0.2730969204704124,31.60950253063712,3.0618132683902135,0.008639709536893742
7.196856730011528e+19,0.3614248344572848,33.187429509920655,2.987622609041804,0.010890413623304111
1e+20,0.4783551400921092,34.84161717893829,2.916956221068807,0.013729418403152487
1.389495494373136e+20,0.6330778079361105,36.580429686913575,2.849646691626342,0.017306461770802823
1.9306977288832457e+20,0.8378995647146954,38.403523329605896,2.785534559819915,0.021818299261847807
2.6826957952797164e+20,1.108942718719065,40.319121838539544,2.724467940296553,0.02750413868535867
3.727593720314923e+20,1.467680190136779,42.32976803990172,2.66630216228208,0.03467253089488431
5.1794746792312236e+20,1.9424746111233,44.44051803450189,2.6108994274033304,0.04370954023567498
7.196856730011528e+20,2.5708047486587793,46.65761265200594,2.5581284831031783,0.055099363266462656
1e+21,3.402415503713955,48.98480696573929,2.507864311692862,0.06945858755947851
1.3894954943731361e+21,4.503010677108521,51.42838847191604,2.4599878342177584,0.0875588524335644
1.9306977288832457e+21,5.95974321326116,53.992754939150345,2.414385628179154,0.11038042455840179
2.682695795279716e+21,7.887856619012255,56.684088907278095,2.370949659172827,0.13915468645733978
3.7275937203149225e+21,10.439373863534168,59.511770358434354,2.329577024690292,0.17541696038714197
5.179474679231223e+21,13.816529828176865,62.47920357768871,2.290169710313417,0.22113805933836744
7.196856730011528e+21,18.285502965709544,65.59710848085189,2.2526343577093897,0.2787547102178623
1e+22,24.200531575956436,68.86901064282915,2.216882043172399,0.3513994371353187
1.389495494373136e+22,32.02959980335153,72.30267746626362,2.1828280671814166,0.44299327391155774
1.9306977288832458e+22,42.39111585853142,75.90811147499291,2.1503917538370136,0.5584530432231437
2.6826957952797165e+22,56.103344486802726,79.69506452242406,2.11949625949436,0.7039751435425056
3.7275937203149225e+22,74.25215412762665,83.66970997025064,2.090068390688624,0.8874436657426867
5.179474679231223e+22,98.27424238481912,87.84049196651146,2.0620384309354405,1.11878064642768
7.196856730011528e+22,130.06951535982878,92.21808187339792,2.0353399756242228,1.4104556581256527
1.0000000000000001e+23,172.14709049817588,96.81642959189759,2.0099097743626912,1.7780772460192293
1.3894954943731361e+23,227.83269955954566,101.64589316776144,1.9856875813654382,2.241435364078303
1.9306977288832458e+23,301.5400067102388,106.7131881850383,1.9626160128451045,2.8257051620215403
2.6826957952797163e+23,399.0835369368579,112.03568288277809,1.9406404106772814,3.562110987036294
3.727593720314923e+23,528.1700375982448,117.62606278795691,1.9197087133114215,4.490246677306292
5.179474679231223e+23,699.0384514441731,123.49045722570118,1.8997713323295835,5.660667772624356
7.196856730011528e+23,925.161426455205,129.65046827172978,1.88078103472965,7.135812456274298
1e+24,1224.450496251638,136.1154797003854,1.862692831356796,8.995674106625295
1.389495494373136e+24,1620.4801369652648,142.90985561181654,1.8454638700892885,11.339176923997082
1.9306977288832457e+24,2144.7036110448835,150.03609503744158,1.82905333443943,14.294584316591761
2.682695795279716e+24,2838.4722854540128,157.51993358231314,1.8134223468361539,18.019765631571634
3.727593720314923e+24,3756.894075094062,165.36681834366928,1.7985338764785421,22.718548453211422
5.179474679231224e+24,4972.186532940161,173.6149225603197,1.784352651616502,28.639165686997064
7.196856730011529e+24,6580.483313919514,182.2778152375783,1.7708450760510255,36.10139448589839
1e+25,8708.849094474474,191.37622532971906,1.7579791495451496,45.50643153019732
